epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.1124,0.63361,2.15439,1.14536,0.76827,0.7056,0.83203,0.69351,0.59155,1.46419,1.09567,0.000330808,0.000330808,0.000330808
2,106.178,0.66199,1.43299,1.14855,0.67158,0.73115,0.77392,0.60106,0.77617,1.38019,1.29801,0.000650991,0.000650991,0.000650991
3,156.518,0.70932,1.29162,1.17558,0.74129,0.73001,0.80002,0.62093,0.77979,1.23226,1.25841,0.000957975,0.000957975,0.000957975
4,205.489,0.71267,1.19912,1.17954,0.7893,0.77889,0.85495,0.65624,0.8055,1.06883,1.28004,0.0009406,0.0009406,0.0009406
5,255.058,0.68577,1.06227,1.15708,0.77651,0.75864,0.84702,0.68089,0.70927,0.99892,1.20715,0.0009208,0.0009208,0.0009208
6,305.619,0.65871,0.96813,1.13775,0.85159,0.79403,0.8959,0.74588,0.65723,0.84092,1.16237,0.000901,0.000901,0.000901
7,355.842,0.63849,0.92323,1.13037,0.89083,0.81941,0.91512,0.76745,0.61533,0.71896,1.13156,0.0008812,0.0008812,0.0008812
8,410.09,0.63073,0.8576,1.11888,0.82391,0.84727,0.90922,0.75768,0.6364,0.74925,1.12779,0.0008614,0.0008614,0.0008614
9,461.025,0.61026,0.79333,1.10292,0.90075,0.85058,0.93629,0.79642,0.58913,0.66125,1.10072,0.0008416,0.0008416,0.0008416
10,512.208,0.60183,0.78614,1.09054,0.90457,0.84935,0.94629,0.8116,0.55402,0.61736,1.06187,0.0008218,0.0008218,0.0008218
11,563.849,0.5848,0.74297,1.08817,0.84971,0.86891,0.93377,0.80403,0.54046,0.63735,1.06321,0.000802,0.000802,0.000802
12,614.037,0.57916,0.73152,1.07991,0.91404,0.90352,0.95561,0.82047,0.55162,0.54581,1.05307,0.0007822,0.0007822,0.0007822
13,663.771,0.55763,0.68895,1.07881,0.84932,0.86388,0.91991,0.79612,0.55247,0.62634,1.06146,0.0007624,0.0007624,0.0007624
14,713.554,0.57111,0.66527,1.08207,0.89271,0.87643,0.94721,0.82134,0.53251,0.54551,1.05955,0.0007426,0.0007426,0.0007426
15,764.393,0.54281,0.63928,1.06307,0.9445,0.88387,0.9543,0.84207,0.50337,0.50636,1.01586,0.0007228,0.0007228,0.0007228
16,815.143,0.5468,0.62832,1.06342,0.9238,0.88455,0.95737,0.83721,0.51736,0.50665,1.02478,0.000703,0.000703,0.000703
17,866.378,0.53269,0.59848,1.0611,0.88708,0.88653,0.9481,0.83492,0.5036,0.55399,1.03451,0.0006832,0.0006832,0.0006832
18,916.309,0.51064,0.58964,1.04832,0.92189,0.891,0.94993,0.85348,0.4646,0.46528,0.99258,0.0006634,0.0006634,0.0006634
19,966.419,0.5197,0.56562,1.05042,0.94719,0.88909,0.96145,0.84642,0.49268,0.45482,1.00962,0.0006436,0.0006436,0.0006436
20,1017.02,0.51759,0.56634,1.04768,0.9601,0.90474,0.96763,0.86188,0.48012,0.41822,0.99704,0.0006238,0.0006238,0.0006238
21,1067.73,0.49524,0.53078,1.03605,0.9506,0.892,0.96067,0.84357,0.51124,0.45246,1.03304,0.000604,0.000604,0.000604
22,1119.77,0.49189,0.51219,1.03108,0.90775,0.88431,0.96265,0.86003,0.479,0.49272,1.00085,0.0005842,0.0005842,0.0005842
23,1171.39,0.47821,0.51344,1.02436,0.96983,0.91363,0.9723,0.86925,0.45953,0.39574,0.98291,0.0005644,0.0005644,0.0005644
24,1223.26,0.48167,0.49682,1.02342,0.96039,0.91925,0.9697,0.86792,0.46259,0.39784,0.98821,0.0005446,0.0005446,0.0005446
25,1275.72,0.47292,0.51606,1.02766,0.94362,0.91675,0.96795,0.87345,0.45343,0.39392,0.98335,0.0005248,0.0005248,0.0005248
26,1328.2,0.46302,0.47978,1.02016,0.94599,0.91673,0.97229,0.87241,0.46234,0.39917,0.99078,0.000505,0.000505,0.000505
27,1380.83,0.45732,0.46944,1.01294,0.96913,0.93468,0.97301,0.88136,0.44651,0.3731,0.97323,0.0004852,0.0004852,0.0004852
28,1434.27,0.45908,0.46931,1.0139,0.95105,0.91654,0.96958,0.87469,0.44415,0.37389,0.97352,0.0004654,0.0004654,0.0004654
29,1485.32,0.45152,0.45787,1.00788,0.96698,0.93023,0.97649,0.88608,0.43128,0.34952,0.96136,0.0004456,0.0004456,0.0004456
30,1536.57,0.44524,0.44468,1.0087,0.95177,0.91445,0.97183,0.88552,0.42482,0.3728,0.95049,0.0004258,0.0004258,0.0004258
31,1586.77,0.43294,0.43277,0.9948,0.96655,0.94138,0.97742,0.8861,0.43099,0.35995,0.95641,0.000406,0.000406,0.000406
32,1638.36,0.4397,0.43343,1.0037,0.9494,0.93434,0.9731,0.88849,0.41863,0.35055,0.95094,0.0003862,0.0003862,0.0003862
33,1688.8,0.42111,0.42167,1.00041,0.95593,0.93932,0.97431,0.88842,0.41356,0.34751,0.94586,0.0003664,0.0003664,0.0003664
34,1739.42,0.41546,0.42151,0.987,0.96066,0.93441,0.97817,0.89578,0.40954,0.33884,0.94008,0.0003466,0.0003466,0.0003466
35,1789.76,0.41402,0.40376,0.98961,0.95932,0.92342,0.97715,0.89277,0.41506,0.35522,0.94986,0.0003268,0.0003268,0.0003268
36,1840.68,0.41511,0.40139,0.98516,0.96985,0.92845,0.97903,0.89608,0.41072,0.33288,0.94727,0.000307,0.000307,0.000307
37,1890.62,0.4095,0.38778,0.98381,0.96742,0.93295,0.97465,0.89964,0.40146,0.3278,0.93974,0.0002872,0.0002872,0.0002872
38,1939.84,0.40303,0.38305,0.98186,0.96727,0.9391,0.97497,0.89442,0.40664,0.32097,0.94041,0.0002674,0.0002674,0.0002674
39,1989.22,0.40082,0.36927,0.98426,0.96534,0.94135,0.9775,0.89839,0.40486,0.31889,0.94202,0.0002476,0.0002476,0.0002476
40,2039.86,0.38409,0.36244,0.98001,0.97308,0.92803,0.97843,0.90211,0.40111,0.31878,0.93964,0.0002278,0.0002278,0.0002278
41,2090.63,0.31591,0.2899,0.91286,0.97286,0.93487,0.97563,0.89712,0.39825,0.32252,0.93652,0.000208,0.000208,0.000208
42,2138.64,0.29724,0.26669,0.89485,0.96476,0.94153,0.97931,0.90371,0.38816,0.31231,0.92743,0.0001882,0.0001882,0.0001882
